Gene.ID,Cluster
HORVU.MOREX.r3.2HG0109400,Cluster 2
HORVU.MOREX.r3.2HG0110060,Cluster 2
HORVU.MOREX.r3.2HG0110410,Cluster 2
HORVU.MOREX.r3.2HG0110530,Cluster 2
HORVU.MOREX.r3.2HG0110720,Cluster 2
HORVU.MOREX.r3.2HG0110760,Cluster 2
HORVU.MOREX.r3.2HG0110980,Cluster 2
HORVU.MOREX.r3.2HG0111100,Cluster 2
HORVU.MOREX.r3.2HG0111250,Cluster 2
HORVU.MOREX.r3.2HG0111280,Cluster 2
HORVU.MOREX.r3.2HG0111450,Cluster 2
HORVU.MOREX.r3.2HG0111520,Cluster 2
HORVU.MOREX.r3.2HG0111990,Cluster 2
HORVU.MOREX.r3.2HG0112010,Cluster 2
HORVU.MOREX.r3.2HG0112380,Cluster 2
HORVU.MOREX.r3.2HG0112900,Cluster 2
HORVU.MOREX.r3.2HG0113010,Cluster 2
HORVU.MOREX.r3.2HG0113190,Cluster 2
HORVU.MOREX.r3.2HG0113330,Cluster 2
HORVU.MOREX.r3.2HG0113520,Cluster 2
HORVU.MOREX.r3.2HG0113530,Cluster 2
HORVU.MOREX.r3.2HG0113730,Cluster 2
HORVU.MOREX.r3.2HG0113810,Cluster 2
HORVU.MOREX.r3.2HG0113890,Cluster 2
HORVU.MOREX.r3.2HG0113960,Cluster 2
HORVU.MOREX.r3.2HG0113990,Cluster 2
HORVU.MOREX.r3.2HG0114130,Cluster 2
HORVU.MOREX.r3.2HG0114930,Cluster 2
HORVU.MOREX.r3.2HG0115250,Cluster 2
HORVU.MOREX.r3.2HG0115410,Cluster 2
HORVU.MOREX.r3.2HG0115940,Cluster 2
HORVU.MOREX.r3.2HG0116000,Cluster 2
HORVU.MOREX.r3.2HG0116070,Cluster 2
HORVU.MOREX.r3.2HG0116220,Cluster 2
HORVU.MOREX.r3.2HG0116280,Cluster 2
HORVU.MOREX.r3.2HG0116520,Cluster 2
HORVU.MOREX.r3.2HG0116760,Cluster 2
HORVU.MOREX.r3.2HG0116900,Cluster 2
HORVU.MOREX.r3.2HG0117030,Cluster 2
HORVU.MOREX.r3.2HG0117100,Cluster 2
HORVU.MOREX.r3.2HG0117250,Cluster 2
HORVU.MOREX.r3.2HG0117530,Cluster 2
HORVU.MOREX.r3.2HG0117540,Cluster 2
HORVU.MOREX.r3.2HG0117610,Cluster 2
HORVU.MOREX.r3.2HG0118180,Cluster 2
HORVU.MOREX.r3.2HG0118440,Cluster 2
HORVU.MOREX.r3.2HG0118450,Cluster 2
HORVU.MOREX.r3.2HG0118530,Cluster 2
HORVU.MOREX.r3.2HG0118700,Cluster 2
HORVU.MOREX.r3.2HG0118800,Cluster 2
HORVU.MOREX.r3.2HG0119030,Cluster 2
HORVU.MOREX.r3.2HG0119170,Cluster 2
HORVU.MOREX.r3.2HG0119600,Cluster 2
HORVU.MOREX.r3.2HG0119840,Cluster 2
HORVU.MOREX.r3.2HG0120030,Cluster 2
HORVU.MOREX.r3.2HG0120200,Cluster 2
HORVU.MOREX.r3.2HG0120760,Cluster 2
HORVU.MOREX.r3.2HG0120820,Cluster 2
HORVU.MOREX.r3.2HG0121000,Cluster 2
HORVU.MOREX.r3.2HG0121300,Cluster 2
HORVU.MOREX.r3.2HG0121320,Cluster 2
HORVU.MOREX.r3.2HG0121540,Cluster 2
HORVU.MOREX.r3.2HG0121800,Cluster 2
HORVU.MOREX.r3.2HG0122100,Cluster 2
HORVU.MOREX.r3.2HG0122190,Cluster 2
HORVU.MOREX.r3.2HG0123450,Cluster 2
HORVU.MOREX.r3.2HG0123830,Cluster 2
HORVU.MOREX.r3.2HG0123910,Cluster 2
HORVU.MOREX.r3.2HG0124060,Cluster 2
HORVU.MOREX.r3.2HG0124240,Cluster 2
HORVU.MOREX.r3.2HG0124380,Cluster 2
HORVU.MOREX.r3.2HG0124940,Cluster 2
HORVU.MOREX.r3.2HG0124990,Cluster 2
HORVU.MOREX.r3.2HG0125430,Cluster 2
HORVU.MOREX.r3.2HG0125630,Cluster 2
HORVU.MOREX.r3.2HG0125920,Cluster 2
HORVU.MOREX.r3.2HG0126230,Cluster 2
HORVU.MOREX.r3.2HG0126270,Cluster 2
HORVU.MOREX.r3.2HG0126440,Cluster 2
HORVU.MOREX.r3.2HG0126510,Cluster 2
HORVU.MOREX.r3.2HG0126550,Cluster 2
HORVU.MOREX.r3.2HG0126860,Cluster 2
HORVU.MOREX.r3.2HG0126880,Cluster 2
HORVU.MOREX.r3.2HG0126960,Cluster 2
HORVU.MOREX.r3.2HG0127140,Cluster 2
