Name,logFC,logCPM,pvalue,FDR
HORVU.MOREX.r3.2HG0172300,-1.450564664,4.039205039,3.29E-06,0.00022704
HORVU.MOREX.r3.2HG0124450,1.376749858,4.305328365,3.31E-06,0.00022704
HORVU.MOREX.r3.4HG0337740,1.436017152,4.063967333,3.77E-06,0.000258118
HORVU.MOREX.r3.7HG0664270,1.389409049,4.211484341,3.99E-06,0.000271586
HORVU.MOREX.r3.2HG0135060,2.381005562,1.996820499,4.21E-06,0.000285565
HORVU.MOREX.r3.1HG0015720,1.191724866,5.974366092,4.23E-06,0.000285633
HORVU.MOREX.r3.3HG0237810,1.595356719,3.586007941,4.37E-06,0.000294055
HORVU.MOREX.r3.1HG0079430,2.693200981,1.4822797,4.44E-06,0.00029749
HORVU.MOREX.r3.2HG0212050,1.614621475,3.523700137,4.77E-06,0.000318075
HORVU.MOREX.r3.7HG0686980,1.523093252,3.749735051,4.97E-06,0.00032973
HORVU.MOREX.r3.1HG0080940,1.726749277,3.250829701,5.09E-06,0.000336512
HORVU.MOREX.r3.5HG0518130,1.442374345,3.978677382,5.12E-06,0.000336947
HORVU.MOREX.r3.7HG0662420,1.212087811,5.098186904,5.15E-06,0.000337644
HORVU.MOREX.r3.5HG0421580,1.326044979,4.389958631,5.30E-06,0.000345756
HORVU.MOREX.r3.1HG0072150,1.814331177,3.044227971,5.35E-06,0.000348009
HORVU.MOREX.r3.3HG0291910,2.024187613,2.588979048,5.90E-06,0.00038201
HORVU.MOREX.r3.7HG0713590,-1.212624187,4.998365299,6.07E-06,0.000391179
HORVU.MOREX.r3.2HG0197190,-1.283179358,4.494276285,7.23E-06,0.000462201
HORVU.MOREX.r3.4HG0390960,1.165488293,5.495746497,7.23E-06,0.000462201
HORVU.MOREX.r3.2HG0125660,1.267953524,4.569532469,7.32E-06,0.000466373
HORVU.MOREX.r3.3HG0274050,1.755218359,3.107125695,7.37E-06,0.000467472
HORVU.MOREX.r3.4HG0395160,1.159239873,5.65899396,7.41E-06,0.000468314
HORVU.MOREX.r3.5HG0511770,1.378841981,8.613592218,7.45E-06,0.000468673
HORVU.MOREX.r3.6HG0574190,1.477359727,3.780949491,7.91E-06,0.000495481
HORVU.MOREX.r3.2HG0208700,1.176308052,6.464232893,8.06E-06,0.000503239
HORVU.MOREX.r3.4HG0385330,-2.082280374,2.38148899,8.70E-06,0.000538408
HORVU.MOREX.r3.5HG0509030,-2.089963574,2.369921855,8.71E-06,0.000538408
HORVU.MOREX.r3.3HG0290880,1.433153936,3.887904796,8.75E-06,0.000538408
HORVU.MOREX.r3.3HG0230870,1.179979768,6.59078401,8.76E-06,0.000538408
HORVU.MOREX.r3.3HG0245440,1.172268691,6.513112931,9.12E-06,0.000558158
HORVU.MOREX.r3.4HG0406620,1.594664513,3.437765888,9.24E-06,0.000563539
HORVU.MOREX.r3.7HG0715300,-2.219043955,2.081958358,9.48E-06,0.000575857
HORVU.MOREX.r3.2HG0187000,2.269649441,1.97905848,9.62E-06,0.000581885
HORVU.MOREX.r3.6HG0574460,-1.15257401,5.3341732,1.04E-05,0.000625265
HORVU.MOREX.r3.3HG0280930,1.342009941,4.145030239,1.05E-05,0.000627931
HORVU.MOREX.r3.3HG0229410,1.134691182,5.729594019,1.13E-05,0.000675941
HORVU.MOREX.r3.5HG0527630,-1.191643072,4.841245641,1.20E-05,0.000717936
HORVU.MOREX.r3.5HG0478330,1.408488556,3.88203497,1.24E-05,0.000737974
HORVU.MOREX.r3.2HG0215200,1.148082515,5.235611769,1.25E-05,0.000738103
HORVU.MOREX.r3.3HG0219130,-1.472163834,3.689929008,1.28E-05,0.000754646
HORVU.MOREX.r3.3HG0240580,1.19277695,4.804737023,1.29E-05,0.000757939
HORVU.MOREX.r3.2HG0206030,-1.581183186,3.39116996,1.33E-05,0.000776687
HORVU.MOREX.r3.4HG0394970,1.124104833,5.734008819,1.35E-05,0.000786423
HORVU.MOREX.r3.2HG0211040,1.239777116,4.5082189,1.36E-05,0.000787028
HORVU.MOREX.r3.7HG0746630,1.132776348,5.390504695,1.37E-05,0.000794582
HORVU.MOREX.r3.4HG0384700,1.196081913,4.751688189,1.38E-05,0.000797704
HORVU.MOREX.r3.2HG0186310,1.122010419,5.840448807,1.39E-05,0.00079994
HORVU.MOREX.r3.7HG0752910,-1.525529536,3.524057503,1.40E-05,0.000802165
HORVU.MOREX.r3.3HG0246250,2.105307007,2.219667955,1.43E-05,0.000816905
HORVU.MOREX.r3.7HG0636480,-1.12567128,6.15293346,1.47E-05,0.000833622
HORVU.MOREX.r3.3HG0226060,1.138456379,5.237549376,1.47E-05,0.000833622
HORVU.MOREX.r3.7HG0748080,-1.216085368,4.590059747,1.53E-05,0.00086544
HORVU.MOREX.r3.5HG0527250,1.627264513,3.23955409,1.61E-05,0.000905836
HORVU.MOREX.r3.6HG0617580,1.98884369,2.422799886,1.65E-05,0.000921424
HORVU.MOREX.r3.2HG0193390,-1.110631197,5.820278957,1.69E-05,0.000941797
HORVU.MOREX.r3.3HG0297880,1.961804753,2.47657825,1.70E-05,0.000941797
HORVU.MOREX.r3.5HG0464380,-1.335986502,4.039059572,1.70E-05,0.000941797
HORVU.MOREX.r3.2HG0204690,1.61897695,3.244125721,1.71E-05,0.00094286
HORVU.MOREX.r3.2HG0176940,-1.217121183,7.512896242,1.72E-05,0.000945765
HORVU.MOREX.r3.4HG0400000,1.173990561,4.803158728,1.73E-05,0.000949001
HORVU.MOREX.r3.5HG0513900,-1.115003693,5.455887873,1.76E-05,0.000961357
HORVU.MOREX.r3.1HG0059680,-1.282643159,4.216286752,1.89E-05,0.001026772
HORVU.MOREX.r3.7HG0652120,-1.159089992,6.925669143,1.90E-05,0.001031444
HORVU.MOREX.r3.2HG0177740,1.10273689,5.84530022,1.94E-05,0.001048869
HORVU.MOREX.r3.3HG0308630,1.356856467,3.928302684,2.07E-05,0.001111963
HORVU.MOREX.r3.3HG0287850,1.115382207,6.371377478,2.07E-05,0.001111963
HORVU.MOREX.r3.3HG0288960,-1.135263415,5.030088465,2.08E-05,0.001112386
HORVU.MOREX.r3.7HG0657470,1.399564656,3.770660754,2.26E-05,0.001202504
HORVU.MOREX.r3.4HG0413910,1.189081703,7.401818553,2.28E-05,0.001210251
HORVU.MOREX.r3.7HG0665050,1.208735655,4.485892837,2.36E-05,0.001250792
